assistant_id,animal_id
A,1
A,2
A,3
A,4
B,5
B,6
B,7
B,8
C,9
C,10
C,11
C,12
D,13
D,14
D,15
D,16
E,17
E,18
E,19
E,20
F,21
F,22
F,23
F,24
G,25
G,26
G,27
G,28
H,29
H,30
H,31
H,32
I,33
I,34
I,35
I,36
J,37
J,38
J,39
J,40
K,41
K,42
K,43
K,44
L,45
L,46
L,47
L,48
M,49
M,50
M,51
M,52
N,53
N,54
N,55
N,56
O,57
O,58
O,59
O,60
P,61
P,62
P,63
P,64
Q,65
Q,66
Q,67
Q,68
R,69
R,70
R,71
R,72
S,73
S,74
S,75
S,76
T,77
T,78
T,79
T,80
U,81
U,82
U,83
U,84
V,85
V,86
V,87
V,88
W,89
W,90
W,91
W,92
X,93
X,94
X,95
X,96
Y,97
Y,98
Y,99
Y,100
Y,101
